area,curConfirm,confirmed,curConfirmRelative,crued,died
西藏,0,1,0,1,0
澳门,0,82,0,82,0
青海,13,95,0,82,0
台湾,253931,268569,66136,13742,896
香港,261645,331097,-33,60119,9333
贵州,1,180,1,177,2
吉林,505,40251,-49,39741,5
新疆,1,1008,-3,1004,3
宁夏,0,122,0,122,0
内蒙古,51,1752,-4,1700,1
甘肃,0,681,0,679,2
天津,1,1804,-1,1800,3
山西,19,420,-3,401,0
辽宁,37,1655,1,1616,2
黑龙江,144,2982,-38,2825,13
海南,16,288,0,266,6
河北,13,2002,2,1982,7
陕西,0,3277,-1,3274,3
云南,14,2120,-6,2104,2
广西,17,1592,-5,1573,2
福建,55,3051,4,2995,1
上海,8720,60113,-1157,50871,522
北京,502,2387,49,1876,9
江苏,23,2213,-3,2190,0
四川,69,2066,-2,1994,3
山东,65,2731,-5,2659,7
江西,146,1383,-30,1236,1
重庆,6,700,1,688,6
安徽,6,1065,-1,1053,6
湖南,26,1389,0,1359,4
河南,79,2961,24,2860,22
广东,176,7134,3,6950,8
浙江,554,3124,-15,2569,1
湖北,2,68398,0,63884,4512
area,curConfirm,confirmed,curConfirmRelative,crued,died
西藏,0,1,0,1,0
澳门,0,82,0,82,0
青海,43,134,11,91,0
台湾,556160,570870,122522,13742,968
香港,261271,331468,-20,60841,9356
贵州,3,182,1,177,2
吉林,145,40260,-23,40110,5
新疆,0,1008,0,1005,3
宁夏,0,122,0,122,0
内蒙古,14,1753,-7,1738,1
甘肃,0,681,0,679,2
天津,0,1804,-1,1801,3
山西,6,420,-3,414,0
辽宁,22,1665,0,1641,2
黑龙江,42,2983,-3,2928,13
海南,16,288,0,266,6
河北,8,2003,-1,1988,7
陕西,0,3277,0,3274,3
云南,14,2125,4,2109,2
广西,20,1605,5,1583,2
福建,62,3081,-2,3018,1
上海,4934,61514,-294,56008,572
北京,603,2640,-2,2028,9
江苏,13,2215,0,2202,0
四川,29,2070,-4,2038,3
山东,49,2733,-2,2677,7
江西,28,1383,-6,1354,1
重庆,8,705,2,691,6
安徽,4,1065,0,1055,6
湖南,10,1392,-5,1378,4
河南,197,3096,22,2877,22
广东,213,7235,-12,7014,8
浙江,500,3130,-7,2629,1
湖北,1,68398,0,63885,4512
area,curConfirm,confirmed,curConfirmRelative,crued,died
西藏,0,1,0,1,0
澳门,0,82,0,82,0
青海,51,146,3,95,0
台湾,685033,699824,128873,13742,1049
香港,261083,331509,-57,61067,9359
贵州,4,184,2,178,2
吉林,72,40261,-37,40184,5
新疆,0,1008,0,1005,3
宁夏,0,122,0,122,0
内蒙古,7,1753,-3,1745,1
甘肃,0,681,0,679,2
天津,0,1804,0,1801,3
山西,5,420,-1,415,0
辽宁,17,1667,-2,1648,2
黑龙江,33,2983,-3,2937,13
海南,0,288,0,282,6
河北,7,2003,0,1989,7
陕西,1,3278,0,3274,3
云南,11,2125,-2,2112,2
广西,24,1610,2,1584,2
福建,80,3114,9,3033,1
上海,4214,61936,-529,57147,575
北京,540,2709,-5,2160,9
江苏,10,2215,-1,2205,0
四川,28,2078,0,2047,3
山东,46,2734,-1,2681,7
江西,18,1383,-3,1364,1
重庆,10,707,2,691,6
安徽,2,1065,-1,1057,6
湖南,8,1393,-2,1381,4
河南,200,3117,-2,2895,22
广东,209,7255,-5,7038,8
浙江,487,3130,-7,2642,1
湖北,0,68398,-1,63886,4512
